code,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021
TU912,Business Analytics,,,330,,,,,331,311
TU914,Business Computing,,,324,,,,,322,
TU917,Law (LLB ) with a Language,,,342,,,,,356,
TU918,Law (LLB),,,451,,,,,463,
TU919,Advertising and Marketing Communications,,,228,226,,,,219,
TU920,Digital Marketing,,,270,,,,,270,
TU921,Digital Marketing Technologies,,,212,212,,,,230,
TU922,Marketing,,,418,,,,,412,
TU924,E-Commerce in Retailing,,,307,,,,,307,
TU925,Retail and Services Management,,,301,,,,,307,
TU932,Business (options),,,,,,,,211,
TU933,Accounting and Finance (campus options),,,,,,,,251,
TU935,Sports Management and Coaching,,,300,,,,,300,
TU936,Sports Science and Health,,,410,391,,,,484,
TU941,Botanical Cuisine,,,249,,,,,311,
TU942,Culinary Arts,,,212,212,,,,252,
TU943,Culinary Entrepreneurship,,,278,,,,,261,
TU944,Culinary Science,,,316,,,,,336,
TU951,International Hospitality and Tourism Management,,,184,184,,,,244,
TU952,International Hospitality Management,,,300,,,,,309,
TU953,Tourism and Digital Marketing,,,290,,,,,308,
TU954,Event Management,,,356,,,,,326,
TU955,Sports and Leisure Management,,,217,317,,,,275,
TU961,Commercial Modern Music (BIMM - assessment/auditio,,,608,608,,,#,#536,#536
TU962,Drama (Performance  audition),,,379,,,,#,#448,
TU963,Music (audition),,,416,,,,#,#364,
TU965,International Business and Languages,,,356,346,,,,357,
TU967,Languages and International Tourism,,,308,,,,,298,
TU973,Design - Visual Communication (portfolio),,,717,,,,#,#700,
TU974,Fine Art (portfolio),,,709,563,,,#,#549,
TU975,Interior Design (portfolio),,,632,,,,#,#544,
TU976,Photography (portfolio),,,695,,,,#,#700,
TU978,Creative Industries and Visual Culture,,,,,,,,299,
TU981,Creative Digital Media,,,280,,,,,280,
TU982,Media Production and Digital Arts,,,320,311,,,,369,
TU983,Film and Broadcasting,,,456,451,,,,462,453
TU984,Game Design,,,381,,,,,414,
TU985,Journalism,,,322,,,,,367,
TU989,Early Childhood Care and Education (campus options,,,,,,,,270,
TU991,Applied Social Studies in Social Care,,,325,,,,,326,
TU992,Community Development and Youth Work,,,251,,,,,251,
TU995,Early Childhood Education,,,367,,,,,378,
TU996,Social Care,,,400,,,,,407,
TU997,Applied Social Care,,,310,283,,,,320,
TR002,Music,#414 ,473,435,429,,,,508,477*
TR003,History,486 ,518,497,493,,,,552,543*
TR004,Law,532 ,552,566,565,,*,,590*,589
TR005,Philosophy,391 ,446,442,,,,,510,497
TR006,Psychology,555* ,577,567,555,,*,,601*,590
TR007,Clinical Speech and Language Studies,499 ,529,529,,,,,564*,
TR009,Music Education,#430 ,465,420,,,,#,#496,#486
TR015,Philosophy  Political Science  Economics and Socio,566 ,577,589,,,,,613*,613*
TR016,Deaf Studies,337 ,372,340,,,,,389,
TR018,Law and French,532* ,554,565,,,,,602*,602
TR019,Law and German,523 ,555,543,542,,,,577,567
TR021,Classics  Ancient History and Archaeology,377 ,495,370,,,,,467,462
TR022,Early and Modern Irish,347 ,407,398,,,,,377,
TR023,English Studies,463 ,511,487,476,,,,546,541*
TR024,European Studies,520 ,544,544,542,,,,566,
TR025,Drama and Theatre Studies,#489 ,531,564,530,,,#,#543,#519
TR028,Ancient and Medieval History and Culture,339 ,451,342,,,,,498,463
TR031,Mathematics,566 ,589,531,,,,,579,578
TR032,Engineering,487* ,520,510,509,,*,,556,555
TR033,Computer Science,465* ,488,509,,,,,566*,549
TR034,Management Science and Information Systems Studies,589* ,602,613,,*,,,625*,625*
TR035,Theoretical Physics,554 ,601,543,,,,,590,589*
TR038,Engineering with Management,499 ,543,532,,,,,589*,589*
TR039,Computer Science  Linguistics and a Language,435 ,498,454,424,,,,443,
TR040,Middle Eastern and European Languages and Cultures,485 ,518,466,,,,,520,499
TR041,Religion,347 ,393,368,,,,,417,
TR042,Film,,,489,476,,,,531,522
TR043,History of Art and Architecture,,,393,354,,,,498,486
TR051,Medicine (HPAT required),#730 ,739,735,734,*,*,#,#743*,#743*
TR052,Dental Science,590* ,602,613,613,*,*,,625*,625*
TR053,Physiotherapy,533* ,544,566,566,*,*,,590*,
TR054,Occupational Therapy,500 ,520,533,,,,,578*,577*
TR055,Radiation Therapy,510 ,521,543,,,,,577,566
TR056,Human Health and Disease,543 ,565,565,,,,,601*,
TR060,Biological and Biomedical Sciences,510* ,542,543,543,*,,,578*,577*
TR061,Chemical Sciences,488* ,520,517,510,,,,558,554*
TR062,Geography and Geoscience,435 ,485,473,,,,,495,
TR063,Physical Sciences,498* ,543,498,498,*,,,554,543
TR064,Environmental Science and Engineering,,,,,,,,555,
TR072,Pharmacy,555* ,577,590,,,,,613*,613*
TR080,Global Business,565 ,577,589,,*,,,613*,
TR081,Business  Economic and Social Studies (BESS),518* ,542,543,543,*,*,,577,567*
TR084,Social Studies (Social Work),420* ,462,462,,*,,,497,487*
TR085,Business Studies and French,509 ,553,540,531,,,,564,
TR086,Business Studies and German,474 ,495,509,499,,*,,530,
TR087,Business Studies and Russian,467 ,487,474,465,,,,487,
TR089,Business Studies and Polish,393 ,434,444,424,,,,391,
TR090,Business Studies and Spanish,510 ,543,531,,*,,,566,
TR091,General Nursing (Meath and St James`s),393* ,420,429,,,,,462,456*
TR093,General Nursing (Adelaide School of Nursing),#378* ,409,430,429,,,#,#473,
TR095,Mental Health Nursing,358 ,377,408,,,,,442,
TR097,Intellectual Disability Nursing,346 ,350,396,,,,,412,410
TR911,Children`s and General Nursing (Integrated),476* ,487,511,510,,,,531*,
TR913,Midwifery,423 ,462,478,477,,*,,521,
DN100,Architecture,473 ,509,510,,,,,555,
DN120,Landscape Architecture,353 ,403,407,,,,,463,435
DN130,City Planning and Environmental Policy,367 ,421,407,400,,,,445,424
DN150,Engineering (Common Entry),511 ,554,531,521,,,,565*,
DN200,Science (options),521 ,554,533,,,,,577,567
DN201,Computer Science (Common Entry),488 ,509,510,,,,,554,549
DN230,Actuarial and Financial Studies,577 ,589,601,,,,,613*,613*
DN240,Sustainability,,,440,,,,,510,
DN250,Agricultural Science (options),420 ,462,456,455,,,,454,444
DN261,Food Science,434 ,467,477,,,,,531,
DN262,Human Nutrition,493 ,510,531,,,,,566,
DN300,Veterinary Medicine - Undergraduate Entry,#567 ,589,589,,,,#,#601*,
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,#,,,,,,#,,
DN310,Veterinary Nursing,441 ,487,478,477,,,,521,509
DN400,Medicine - Undergraduate Entry (HPAT required),#735 ,745,737,736,,*,#,#743*,
DN401,Medicine - Graduate Entry (GAMSAT required),#59* ,61,,,,,#,#61*,
DN410,Radiography,507 ,522,534,532,,*,,566*,566*
DN411,Radiography - Graduate Entry,#,,,,,,#,#,
DN420,Physiotherapy,542 ,555,578,577,,*,,601*,601*
DN425,Health and Performance Science,488 ,509,510,509,,*,,544,543
DN430,Sport and Exercise Management,436 ,455,455,445,,,,484,476
DN440,Biomedical  Health and Life Sciences,565* ,579,590,589,,*,,613*,613*
DN450,General Nursing,398 ,420,429,424,*,,,462*,
DN451,Children`s and General Nursing (Integrated),462* ,499,509,506,,,,533,
DN452,Midwifery,409 ,452,489,476,,,,510,509*
DN453,Mental Health Nursing,379 ,403,397,393,,,,442,
DN520,Joint Honours (options),336 ,408,310,,,,,381,378
DN530,Humanities (options),348 ,411,340,336,,,,397,388
DN541,Modern Languages (options),348 ,412,303,,,,,320,
DN600,Law (options),520* ,532,546,544,,,,576,567*
DN610,Business and Law,521 ,543,545,,,,,573,567
DN650,Commerce,498* ,510,521,521,*,*,,555,
DN660,Commerce International (options),507 ,531,517,511,,,,555,554*
DN670,Economics and Finance,601 ,601,613,,,,,625*,625
DN700,Social Sciences (options),388 ,441,421,419,,,,475,474
DN710,Economics,476 ,488,498,498,*,*,,534,532*
DN720,Psychology,517 ,531,530,522,,*,,566,564
DN750,Social Policy and Sociology,330 ,366,378,,,,,421,
DK810,Accounting and Finance,306 ,391,305,305,,,,307,307
DK816,Business Studies,300 ,357,300,300,,,,301,301
DK820,Computing in Games Development,307 ,369,311,311,,,,309,309
DK821,Computing in Software Development,301 ,347,302,302,,,,320,316
DK822,Augmented and Virtual Reality,,,307,,,,,320,320
DK830,Building Surveying,302 ,349,336,,,,,305,
DK831,Architectural Technology,301 ,366,389,,,,,368,314
DK832,Construction Management,300 ,329,387,,,,,358,305
DK843,Engineering (Common Entry),303 ,402,340,340,,,,404,391
DK844,Mechanical Engineering,,,305,305,,,,336,336
DK845,Electrical and Electronic Engineering,,,304,304,,,,331,331
DK846,Civil Engineering,,,391,361,,,,371,371
DK850,International Tourism Management,,,317,317,,,,303,303
DK861,Arts,300 ,358,302,302,,,,302,302
DK862,Social Care,300 ,338,301,,,,,322,319
DK863,Creative Media,300 ,376,308,308,,,,336,320
DK864,Film and Television Production,300 ,332,300,300,,,,308,
DK865,Audio and Music Production,301 ,346,301,,,,,352,
DK870,General Nursing,392 ,401,403,401,,,,440*,440*
DK872,Intellectual Disability Nursing,300 ,317,336,,,,,367,366
DK874,Mental Health Nursing,356 ,378,356,,,,,398,
DK876,Early Childhood Studies,305 ,359,321,,,,,300,
DK877,Midwifery,398* ,441,440,,,,,482,477
DK880,Health and Physical Activity,300 ,367,328,,,,,301,
DK882,Agriculture (Award options),303 ,358,310,,,,,342,
DK883,Science (Award options),300 ,369,358,321,,,,373,368
DK884,Sustainable Agriculture,,,,,,,,348,
DK885,Agri-Food Production,,,,,,,,,
DK886,Biopharmaceutical Science,,,301,,,,,379,
DK887,Environmental Science,,,330,,,,,377,
GA181,Accounting,303 ,378,309,,,,,303,
GA182,Business,290 ,347,287,,,,,285,
GA183,Business Information Systems,309 ,373,296,,,,,298,
GA184,Marketing and Sales,307 ,348,307,,,,,300,
GA185,Finance and Economics,307 ,398,293,,,,,318,
GA186,Business with Entrepreneurship,297 ,328,280,,,,,287,
GA187,Rural Enterprise and Agri-Business,280 ,367,281,,,,,291,
GA281,Film and Documentary,287 ,360,304,,,,,310,301
GA282,Heritage Studies,238 ,308,220,,,,,252,
GA283,Contemporary Art (portfolio),260 ,340,679,,,,#,#790,
GA284,Design,309 ,377,303,,,,,331,
GA285,Education (Art  Design and Graphics),,,,,,,,406,
GA380,International Hotel Management,225 ,289,242,,,,,218,
GA381,International Tourism Management,261 ,290,278,,,,,252,
GA382,Culinary and Gastronomic Science,225 ,316,206,,,,,235,
GA384,Event Management with Public Relations,209 ,289,212,,,,,230,
GA480,Construction Management,260 ,312,260,,,,,302,
GA482,Quantity Surveying and Construction Economics,280 ,340,288,,,,,304,
GA483,Architectural Technology,251 ,321,265,,,,,281,273
GA484,Civil Engineering,270 ,362,290,,,,,377,
GA580,Software and Electronic Engineering,301 ,351,300,,,,,300,
GA680,Mechanical Engineering,336 ,389,330,,,,,400,
GA681,Energy Engineering,281 ,328,293,,,,,312,
GA682,Biomedical Engineering,331 ,383,313,,,,,331,
GA683,Agricultural Engineering,301 ,365,309,,,,,304,
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,346 ,406,340,,,,,413,
GA685,Manufacturing Engineering Design,,,309,,,,,336,
GA780,Applied Freshwater and Marine Biology,300 ,360,327,,,,,366,
GA781,Applied Biology and Biopharmaceutical Science,317 ,376,337,,,,,381,
GA782,Chemical and Pharmaceutical Science,307 ,346,336,,,,,356,
GA783,Physics and Instrumentation,373 ,378,363,,,,,301,
GA784,Science (Undenominated),327 ,377,372,,,,,445,
GA785,Medical Science,451 ,486,473,,,,,517,510
GA786,Forensic Science and Analysis,300 ,366,317,,,,,408,
GA787,Computing in Software Development,275 ,327,270,,,,,310,
GA788,Computing and Digital Media,270 ,327,274,,,,,270,
GA789,Agriculture and Environmental Management,297 ,339,287,,,,,340,
GA790,Sport and Exercise Science,350 ,379,356,,,,,376,366
GA791,Public Health Nutrition,364 ,397,368,,,,,368,
GA880,General Nursing,389* ,400,429,422,*,*,,440*,
GA882,Psychiatric Nursing,346 ,370,367,,,,,369,
GA885,Outdoor Education,210 ,298,252,,,,,269,
GA887,History and Geography,228 ,296,244,,,,,201,
GA889,Applied Social Care,260 ,297,266,,,,,265,
GA890,Early Childhood Education and Care,278 ,319,270,,,,,281,227
GA891,Geography and Outdoor Education,,,244,,,,,261,
GA892,Community Development and Youth Work (Level 8),,,,,,,,,
GA980,Education (Design Graphics and Construction),376 ,389,377,,,,,410,
GA981,Furniture Design and Manufacture,271 ,350,,,,,,346,
GA982,Furniture Making and Architectural Woodworking,270 ,352,,,,,,360,
GA983,Furniture and Digital Manufacturing,,,,,,,,,
GA984,Furniture Design  Making and Technology - Common E,,,284,,,,,486,467
GY101,Arts (Joint-Honours),300 ,374,300,,,,,327,326
GY104,BSc (Psychology),507 ,529,523,520,,,,564,555
GY105,Arts (History),318 ,358,301,,,,,357,
GY109,Arts (Mathematics and Education),411 ,487,403,,,,,413,
GY110,Arts (Children and Youth Studies - options),382 ,409,357,,,,,387,
GY111,Arts (English and Creative Writing),402 ,472,330,,,,,421,420
GY113,Arts with Human Rights,338 ,409,368,,,,,413,
GY115,Arts with Performing Arts Studies,328 ,367,387,,,,,300,
GY118,Arts (Drama  Theatre and Performance Studies),410 ,451,451,,,,,453,430
GY119,Arts (Journalism),410 ,475,400,,,,,484,473
GY122,Na Dána (Cumarsáid agus Gaeilge),308 ,399,361,,,,,410,
GY123,Applied Social Sciences,357 ,388,358,,,,,419,
GY125,Arts (Digital Arts and Technology),324 ,379,328,,,,,403,
GY127,Arts (Film and Digital Media),387 ,435,401,,,,,430,421
GY128,Arts (Global Languages),370 ,440,352,,,,,346,
GY129,Arts (Global Experience),408 ,477,420,,,,,465,
GY130,Arts (Music),400 ,444,408,,,,,462,
GY132,Government (Politics  Economics and Law),402 ,444,407,,,,,465,451
GY133,Education (Computer Science and Mathematical Studi,401 ,466,422,,,,,454,
GY134,Geography and Geosystems,,,410,,,,,425,
GY135,Arts (Global Media),,,,,,,,442,
GY136,Na Dána (Léann Teanga - options),,,,,,,,526,
GY201,Commerce,420 ,453,433,,,,,476,
GY202,Commerce (International) with French,484 ,513,484,,,,,520,
GY203,Commerce (International) with German,489 ,541,489,,,,,518,
GY204,Commerce (International) with Spanish,484 ,500,495,,,,,506,
GY206,Business Information Systems (Work Placement and O,431 ,445,465,,,,,509,
GY207,Commerce (Accounting) including optional Global Ex,486 ,510,509,,,,,543,
GY208,Commerce (Gaeilge),473 ,488,473,,,,,508,
GY209,Commerce (Global Experience),509 ,531,530,,,,,551,
GY250,Law and Business,436 ,467,487,,,,,510,
GY251,Law (BCL),473 ,498,499,,,,,542,
GY252,Law (BCL) and Human Rights,510 ,521,520,,,,,565,
GY253,Law and Taxation,,,509,,,,,506,
GY254,Law (BCL)  Criminology and Criminal Justice,,,530,,,,,548,
GY261,Business Studies in International Hotel Management,#486 ,615,497,,,,#,#503,
GY262,Commerce in International Hotel Management (interv,#671 ,726,681,,,,#,#709,
GY301,Science,400 ,456,433,432,,,,489,488
GY303,Biomedical Science,533 ,566,556,,,,,613,
GY304,Biotechnology,473 ,507,465,,,,,498,495
GY308,Environmental Science,413 ,440,408,,,,,431,430
GY309,Financial Mathematics and Economics,454 ,498,487,,,,,509,
GY310,Marine Science,409 ,456,419,,,,,467,
GY313,Environmental Health and Safety,402 ,435,412,,,,,412,
GY314,Earth and Ocean Sciences,402 ,425,403,,,,,422,
GY318,Biopharmaceutical Chemistry,510 ,532,509,,,,,555,
GY319,Mathematical Science,456 ,531,476,,,,,543,
GY320,Physics (Degree options: Applied Astrophysics Biom,401 ,487,402,,,,,465,
GY321,Genetics and Genomics,,,508,,,,,532,
GY322,Agricultural Sciences,,,,,,,,485,
GY350,Computer Science and Information Technology,425 ,466,403,,,,,495,
GY401,Engineering (Undenominated),444 ,499,465,,,,,522,520
GY402,Civil Engineering,509 ,543,455,,,,,533,521
GY405,Mechanical Engineering,443 ,499,454,,,,,541,
GY406,Electronic and Computer Engineering,509 ,547,510,,,,,555,
GY408,Biomedical Engineering,519 ,543,509,,,,,554,
GY410,Project and Construction Management,434 ,464,403,,,,,431,
GY413,Energy Systems Engineering,532 ,589,502,,,,,509,
GY414,Electrical and Electronic Engineering,454 ,487,405,,,,,433,
GY501,Medicine (five year/six year course  HPAT required,#726* ,731,728,,*,,#,#737*,#737*
GY502,Occupational Therapy,532 ,543,555,,,,,601,
GY503,Speech and Language Therapy,529 ,543,543,,,,,578,
GY504,Podiatric Medicine,434 ,463,443,,,,,531,526
GY515,General Nursing (Galway and Portiuncula),442 ,466,476,473,,,,502,496
GY516,Mental Health Nursing,388 ,413,440,,,,,475,441
GY517,Midwifery,429 ,468,495,,,,,520,509
LY108,Business - Accounting,318 ,399,309,,,,,312,
LY118,Business,287 ,352,290,,,,,288,
LY128,Marketing with Online Technologies,,,,,,,,261,261
LY208,Law,300 ,359,300,,,,,300,290
LY228,Sports and Exercise - Common Entry,278 ,330,300,,,,,290,
LY408,Design - Common Entry,#307 ,368,320,,,,#,#301,
LY508,Fire Safety Engineering,270 ,299,276,,,,,283,
LY518,Quantity Surveying,307 ,368,301,,,,,304,
LY528,Construction Management,267 ,291,271,,,,,262,
LY538,Architectural Technology,,,,,,,,234,234
LY608,Mechanical Engineering,304 ,333,300,,,,,300,
LY618,Electronic Engineering,307 ,339,312,,,,,321,
LY708,Applied Computing,300 ,348,306,,,,,320,
LY748,Computer Science,,,317,317,,,,316,
LY818,Science - Common Entry,302 ,371,303,,,,,302,
LY828,Agriculture - Common Entry,300 ,342,307,,,,,308,300
LY908,General Nursing,383 ,390,400,,*,,,429*,
LY918,Psychiatric Nursing,291* ,332,357,,*,,,367*,
LY928,Intellectual Disability Nursing,288 ,299,326,,*,,,357,
LY968,Early Childhood Care  Health and Education,300 ,336,303,,,,,288,
LY978,Health and Social Care - Common Entry,260 ,299,280,,,,,279,
MI001,Contemporary and Applied Theatre Studies,345 ,381,375,,,,,209,
MI002,Arts,300 ,378,300,281,,,,280,
MI004,Education - Primary Teaching - International,,,577,,,,,589,
MI005,Education - Primary Teaching,473* ,506,495,,,,,522,
MI006,Education - Primary Teaching - Gaeltacht Applicant,#442 ,473,456,,,,#,#485,
MI007,Early Childhood Care and Education,366 ,402,357,,,,,409,
MI008,Education and Psychology - Primary Teaching,543 ,555,588,,,,,590,
MI009,Education  Business Studies and Accounting,392 ,420,402,,,,,434,
MI010,Education  Business Studies and Religious Studies,326 ,355,368,,,,,370,
MI011,Education  Gaeilge and Religious Studies,377 ,387,409,,,,,407,
MI012,Education  Gaeilge and Business Studies,398 ,440,401,,,,,387,
MI013,Education  Mathematics and Gaeilge,433 ,465,444,,,,,509,
MI014,Education  Mathematics and Business Studies,,,434,,,,,476,
CI110,Counselling and Psychotherapy,,,310,,,,,292,
CI111,Counselling and Psychotherapy with Addiction Studi,,,301,,,,,290,
CI112,Counselling and Psychotherapy with Youth Studies,,,311,,,,,325,
LC110,Art and Design (Common Entry  portfolio),#734 ,918,740,,,,#,#794,
LC114,Fashion and Textiles for Product and Costume (port,#900 ,988,880,,,,#,#914,
LC115,Art and Design Teacher Education (LIT and UL  port,,,942,,,,#,#993,
LC220,Digital Marketing,254 ,288,262,,,,,263,
LC223,Law and Taxation,308 ,372,307,,,,,331,
LC224,Accounting and Finance,299 ,382,300,,,,,300,
LC225,Marketing and Management,298 ,337,298,,,,,298,
LC226,Enterprise and Innovation,216 ,298,234,234,,,,255,
LC233,Software Development,300 ,371,272,,,,,280,
LC234,Immersive Digital Media and Spatial Computing,219 ,288,225,,,,,226,
LC236,Internet Systems Development,298 ,319,262,260,,,,260,
LC239,Computer Networks and Systems Management,335 ,347,307,,,,,317,
LC241,Construction Management,276 ,303,255,,,,,326,
LC242,Property Valuation and Management,292 ,328,282,,,,,308,
LC243,Quantity Surveying,281 ,360,294,,,,,278,
LC248,Built Environment (Common Entry),307 ,350,288,,,,,300,
LC252,Civil Engineering Management,281 ,331,270,,,,,264,
LC263,Medical Technology,282 ,359,294,,,,,391,
LC265,Forensic and Pharmaceutical Sciences,335 ,368,413,,,,,498,
LC266,Drug and Medicinal Product Analysis,236 ,299,262,,,,,252,
LC275,Electrical Engineering,288 ,340,298,,,,,361,347
LC288,Mechanical Engineering,307 ,360,347,346,,,,378,369
LC289,Precision Engineering,280 ,369,291,,,,,261,
LC292,Social Care Work,360 ,389,367,,,,,374,
LC293,Business Studies with Travel and Tourism Managemen,299 ,326,307,,,,,271,264
LC294,Business Studies with Event Management,271 ,300,279,,,,,279,
LC295,Business Studies with Sports Management,263 ,298,252,,,,,262,
LC297,Community and Addiction Studies,217 ,269,235,,,,,272,262
LC320,Business,337 ,378,346,,,,,381,
LC330,Business with Computing,298 ,326,297,,,,,328,308
LC340,Interior Design,298 ,349,350,,,,,391,368
LC362,Biotechnology and Biopharmaceutical Sciences,379 ,402,413,,,,,429,
LC371,Creative Broadcast and Film Production,298 ,339,309,,,,,325,310
LC372,Music Technology and Production,321 ,369,325,,,,,377,
LC374,Renewable and Electrical Energy Engineering,317 ,368,318,,,,,337,319
LC375,Industrial Automation and Robotic Systems,321 ,368,317,,,,,309,
LC376,Electronic Engineering with Computer Systems,308 ,346,318,,,,,357,
LC380,Automotive Engineering and Transport Management,282 ,329,303,298,,,,298,
LC392,Business Studies in Beauty and Spa Management,217 ,318,236,,,,,328,317
LC393,Early Childhood Education and Care,260 ,309,236,,,,,309,276
LC402,Social Care Work,209 ,290,225,,,,,228,
LC408,Environmental Science and Climate,262 ,346,279,,,,,279,
LC416,Business,,,274,,,,,260,
LC418,Computing - Games Design and Development,271 ,318,270,,,,,260,256
LC422,Applied Strength and Conditioning,288 ,333,298,,,,,289,
LC502,Game Art and Design (portfolio),#838 ,950,852,,,,#,#841,
LC517,Creative Media and Design,229 ,273,234,,,,,279,
LC518,Digital Animation Production (portfolio),#816 ,962,808,,,,#,#807,
LC612,Social Care Work,319 ,338,320,,,,,309,
LM002,Arts,329 ,388,348,,,,,360*,360
LM019,Social Sciences,,,,,,,,451,
LM020,Law and Accounting,436 ,476,465,,,,,474,
LM026,Performing Arts (audition format TBC),#307 ,367,303,,,,#,#329,
LM028,Criminal Justice,387 ,409,418,,,,,420,
LM029,Law Plus,473 ,499,490,,,,,530,
LM038,Psychology and Sociology,478 ,489,500,,,,,530,
LM039,Journalism and Digital Communication,388 ,430,402,,,,,432,
LM040,European Studies,350 ,462,369,,,,,409,
LM044,Applied Languages,404 ,473,442,,,,,429,
LM050,Business Studies (options),419 ,455,431,,,,,451,
LM056,International Business,511 ,543,528,,,,,555*,
LM058,Financial Mathematics,434 ,543,403,,,,,468,
LM063,Technology Management,372 ,409,379,,,,,410,
LM066,Environmental Science,,,,,,,,430,
LM068,Food Science and Health,400 ,430,421,,,,,464*,
LM076,Product Design and Technology (portfolio required),#402 ,466,408,,,,#,#401,
LM077,Aeronautical Engineering,469 ,531,520,,,,,567,
LM082,Construction Management and Engineering,368 ,404,398,,,,,446*,
LM089,Sport and Exercise Sciences,441 ,466,474,,,,,498*,
LM090,Physical Education with concurrent Teacher Educati,498* ,520,532,,*,,,552,544*
LM091,Languages with concurrent Teacher Education,,,517,,,,,506,
LM092,Science with Teacher Ed (Biology with Physics/Chem,478 ,509,507,,,,,521,
LM093,Equine Science,338 ,381,339,,,,,367,
LM094,Materials and Architectural Technology with concur,405 ,433,440,,,,,475,
LM095,Materials and Engineering Technology with concurre,358 ,409,367,,,,,425,
LM096,Science with Teacher Ed (Physical Sciences with Ch,382 ,422,405,,,,,454,
LM097,Mathematics and Computer Science with concurrent T,,,402,,,,,465,
LM099,Architecture,#419 ,473,498,,,,#,520,
LM100,Physiotherapy,565* ,577,589,,*,,,613*,
LM101,Medicine  - Graduate Entry (GAMSAT required),#55* ,57,55,,*,,#,#57*,
